City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
83,Belmonte,BR,1601340941,-15.86,-38.88,24.0,83,40,2.1
84,Darhan,MN,1601340941,49.49,105.92,6.89,60,62,2.5
85,Ixtapa,MX,1601340941,20.7,-105.2,32.0,70,75,1.03
86,Anadyr,RU,1601340941,64.75,177.48,7.0,70,75,4.0
87,Barrow,US,1601340942,71.29,-156.79,-1.0,80,90,6.7
88,Najrān,SA,1601340942,17.49,44.13,21.0,28,1,1.76
89,Esperance,AU,1601340942,-33.87,121.9,15.0,100,90,5.7
90,Hearst,CA,1601340942,49.68,-83.67,11.36,96,100,0.93
91,George Town,MY,1601340858,5.41,100.34,27.0,94,20,2.1
92,Vila Velha,BR,1601340943,-20.33,-40.29,26.67,78,0,5.7
93,Nagato,JP,1601340943,34.38,131.2,22.0,64,20,3.6
94,Monroe,US,1601340943,43.15,-77.68,24.0,53,90,3.1
95,Prince Rupert,CA,1601340944,54.32,-130.32,13.0,93,40,1.05
96,North Bend,US,1601340944,43.41,-124.22,37.78,26,1,3.6
97,Qingquan,CN,1601340944,30.45,115.26,20.26,91,100,0.22
98,Kruisfontein,ZA,1601340944,-34.0,24.73,11.67,66,29,0.89
99,Kutum,SD,1601340945,14.2,24.67,24.24,61,0,0.9
100,Iralaya,HN,1601340945,15.0,-83.23,29.0,79,40,4.1
101,Torbay,CA,1601340946,47.67,-52.73,17.78,93,90,8.2
102,Pevek,RU,1601340946,69.7,170.31,3.88,73,96,5.8
103,Conceição do Araguaia,BR,1601340946,-8.26,-49.26,29.96,39,0,1.9
104,Heinola,FI,1601340946,61.21,26.04,10.56,87,90,3.6
105,Oddur,SO,1601340947,4.12,43.89,21.81,84,10,4.24
106,Butaritari,KI,1601340947,3.07,172.79,28.08,71,92,5.43
107,Lorengau,PG,1601340947,-2.02,147.27,29.72,66,50,3.67
108,Kulhudhuffushi,MV,1601340947,6.62,73.07,27.92,73,98,3.35
109,Howard Springs,AU,1601340948,-12.5,131.05,32.78,62,40,1.5
110,Forsytheganj,BY,1601340948,52.63,29.73,10.0,72,100,3.11
111,Maragogi,BR,1601340948,-9.01,-35.22,23.86,85,30,4.49
112,Chenghai,CN,1601340949,23.46,116.77,25.0,78,75,3.0
113,Santa Maria,BR,1601340949,-29.68,-53.81,14.0,87,0,1.0
114,Mahébourg,MU,1601340661,-20.41,57.7,23.0,83,75,5.1
115,Dikson,RU,1601340949,73.51,80.55,4.16,93,100,11.47
116,Grootfontein,NA,1601340950,-19.57,18.12,16.39,19,74,5.99
117,Avarua,CK,1601340950,-21.21,-159.78,26.0,69,4,9.8
118,Pangnirtung,CA,1601340950,66.15,-65.71,-2.26,92,94,0.24
119,Hīt,IQ,1601340950,33.64,42.83,26.08,25,0,5.09
120,Lima,PE,1601340860,-12.04,-77.03,16.11,82,90,5.1
121,Garoowe,SO,1601340951,8.41,48.48,23.48,76,0,5.02
122,Puerto Ayora,EC,1601340952,-0.74,-90.35,20.0,85,96,2.24
123,Port Augusta,AU,1601340952,-32.5,137.77,18.0,42,75,7.7
124,Faya,SA,1601340952,18.39,42.45,18.0,27,85,1.6
125,Malakal,SS,1601340953,9.53,31.66,22.48,92,87,2.35
126,Maumere,ID,1601340953,-8.62,122.21,28.97,65,0,0.26
127,Zelenogorskiy,RU,1601340953,55.03,87.0,6.0,75,90,4.0
128,Husavik,IS,1601340953,66.04,-17.34,3.0,69,90,5.7
129,Jega,NG,1601340954,12.22,4.38,26.93,76,100,4.26
130,Hong Kong,HK,1601340852,22.29,114.16,28.33,83,96,0.45
131,Makokou,GA,1601340954,0.57,12.86,19.71,89,94,0.91
132,Frankenberg,DE,1601340954,51.07,8.8,8.33,93,20,1.0
133,Cururupu,BR,1601340955,-1.83,-44.87,24.3,87,0,1.9
134,Mahibadhoo,MV,1601340955,3.78,72.97,27.96,73,100,3.46
135,Saint George,US,1601340955,37.1,-113.58,30.56,10,1,2.1
136,Pontes e Lacerda,BR,1601340955,-15.23,-59.34,22.62,88,100,0.8
137,Katsuura,JP,1601340955,35.13,140.3,21.67,64,75,5.7
138,Durban,ZA,1601340915,-29.86,31.03,14.44,93,90,2.6
139,Margate,GB,1601340956,51.38,1.39,12.22,74,100,0.45
140,Kapaa,US,1601340956,22.08,-159.32,30.0,62,20,4.1
141,Lancaster,US,1601340957,40.25,-76.25,23.33,86,0,0.89
142,Izumo,JP,1601340957,35.37,132.77,19.0,72,20,1.5
143,Aiken,US,1601340957,33.58,-81.6,22.78,94,90,2.6
144,Cape Town,ZA,1601340957,-33.93,18.42,11.67,87,9,1.0
145,Voh,NC,1601340958,-20.97,164.7,22.67,71,77,6.61
146,Tabou,CI,1601340958,4.42,-7.35,24.8,91,89,3.53
147,East London,ZA,1601340899,-33.02,27.91,15.51,59,74,4.81
148,Kuruman,ZA,1601340958,-27.45,23.43,4.44,26,0,4.72
149,Tessalit,ML,1601340959,20.2,1.01,31.08,18,0,5.55
150,Rocha,UY,1601340959,-34.48,-54.33,9.02,80,0,2.8
151,Hithadhoo,MV,1601340959,-0.6,73.08,28.59,68,95,3.76
152,Hambantota,LK,1601340960,6.12,81.12,25.0,100,40,2.1
153,Saskylakh,RU,1601340960,71.92,114.08,-1.63,96,100,6.63
154,Srednekolymsk,RU,1601340960,67.45,153.68,11.09,53,100,3.32
155,Kalmunai,LK,1601340960,7.42,81.82,26.19,82,99,2.75
156,San Juan del Cesar,CO,1601340961,10.77,-73.0,24.66,87,92,2.36
157,São Filipe,CV,1601340961,14.9,-24.5,26.99,81,15,5.96
158,San Michele al Tagliamento,IT,1601340961,45.76,12.99,10.0,91,100,2.57
159,Thompson,CA,1601340962,55.74,-97.86,6.0,93,90,2.1
160,Ponta do Sol,PT,1601340962,32.67,-17.1,20.0,82,75,6.2
161,Lüderitz,NA,1601340963,-26.65,15.16,12.99,56,0,10.6
162,Calatayud,ES,1601340963,41.35,-1.64,13.0,71,100,0.61
163,Nuevo Progreso,MX,1601340963,23.17,-97.95,28.33,64,98,1.79
164,Reconquista,AR,1601340964,-29.15,-59.65,14.97,65,0,3.76
165,Cayenne,GF,1601340964,4.93,-52.33,26.0,88,27,3.1
166,Águas Vermelhas,BR,1601340964,-15.75,-41.46,19.52,44,0,1.46
167,Morondava,MG,1601340964,-20.28,44.28,23.24,63,0,1.4
168,Dyurtyuli,RU,1601340964,55.49,54.87,8.69,84,0,1.03
169,Mar del Plata,AR,1601340965,-38.0,-57.56,10.56,93,0,3.1
170,Port-Cartier,CA,1601340965,50.03,-66.87,13.33,100,75,2.1
171,Qaqortoq,GL,1601340965,60.72,-46.03,0.0,84,0,1.5
172,Ostrów Mazowiecka,PL,1601340965,52.8,21.9,10.56,73,100,3.67
173,Jinchang,CN,1601340966,38.5,102.17,13.51,70,58,2.64
174,Ahipara,NZ,1601340966,-35.17,173.17,14.8,59,38,7.38
175,Xinzhou,CN,1601340966,38.41,112.73,15.79,76,97,1.42
176,Balkanabat,TM,1601340966,39.51,54.37,13.44,35,0,2.78
177,Poum,NC,1601340967,-20.23,164.02,21.92,83,100,11.24
178,Kirillov,RU,1601340967,59.86,38.38,11.0,71,40,4.0
179,Wahiawā,US,1601340967,21.5,-158.02,32.0,43,1,3.1
180,Nishihara,JP,1601340967,26.18,127.76,27.0,74,40,4.6
181,Beringovskiy,RU,1601340968,63.05,179.32,6.86,61,0,2.02
182,Atar,MR,1601340968,20.52,-13.05,30.38,26,0,2.5
183,Ürümqi,CN,1601340968,43.8,87.6,10.0,53,67,5.0
